,,,,,,한국 상위(%),,,,,,,,,,,,,,,전년 대비(%),,,,,,,,,,,,,,""
회사명,업계,응답(명),BIE(점),한국 상위(%),동의어,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,심리적안전감,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,"심리적안전감"
한국가스공사,에너지-화학 ,34,85,1%,"KOGAS, 한국가스공사, 가스공사",0%,0%,2%,0%,1%,1%,4%,2%,3%,2%,2%,5%,3%,0%,1%,-15%,28%,26%,5%,-15%,28%,26%,5%,30%,15%,29%,14%,9%,4%,"11%"
SAP코리아,IT ,13,82,1%,"SAP코리아, SAP, SAP 한국, SAP Korea, 에스에이피, 에스에이피코리아",0%,0%,8%,2%,0%,2%,4%,2%,3%,1%,2%,1%,16%,1%,2%,-18%,2%,7%,4%,-18%,2%,7%,4%,-11%,-8%,-8%,-6%,-13%,-3%,"18%"
한국남동발전,에너지-화학 ,39,82,1%,"한국남동발전, 코엔, KOEN",0%,0%,2%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,1%,0%,12%,47%,43%,13%,12%,47%,43%,13%,24%,27%,44%,27%,24%,36%,"34%"
한전원자력연료,에너지-화학 ,20,82,1%,"한전원자력연료, 한전원자력, 원자력연료, 한전, 한국원자력",0%,1%,0%,2%,10%,19%,19%,9%,3%,3%,0%,6%,6%,4%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
구글코리아,IT,20,80,1%,"구글, Google Korea, 구글코리아, Google",8%,2%,3%,3%,2%,10%,41%,7%,29%,28%,15%,28%,6%,4%,5%,-20%,-3%,4%,8%,-20%,-3%,4%,8%,27%,-1%,-8%,-13%,-15%,-22%,"-21%"
한국주택금융공사,금융 ,13,79,1%,"주금공, 한국주택금융공사, 주택금융공사",0%,2%,9%,0%,2%,1%,4%,4%,15%,5%,1%,1%,13%,1%,1%,-21%,41%,6%,-7%,-21%,41%,6%,-7%,42%,-1%,26%,8%,3%,-2%,"7%"
라인플러스,커머스 ,21,78,1%,"LINE Plus Corporation, LINE Plus, 라인 주식회사, 라인플러스, LINE Plus Corp, 라인, LINEPLUS, LINE Corporation",2%,1%,8%,0%,0%,1%,2%,0%,0%,0%,1%,0%,0%,0%,0%,23%,27%,39%,16%,23%,27%,39%,16%,110%,49%,42%,25%,73%,44%,"73%"
기술보증기금,공공기관 ,22,78,1%,"기술보증기금, 기보, 기보기금, Kibo",4%,0%,2%,1%,0%,13%,5%,2%,56%,10%,3%,12%,5%,6%,0%,10%,17%,25%,3%,10%,17%,25%,3%,21%,15%,2%,21%,33%,-22%,"4%"
한국증권금융,증권 ,11,78,1%,#N/A,1%,1%,1%,1%,7%,8%,2%,1%,4%,3%,3%,18%,1%,0%,5%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
